model,event,aoi,region,aoi_name,threshold,tp,fp,fn,tn,precision,recall,f1,iou
r19,1111006,01,Madagascar,Ambato Boeny,0.35,1887278,1771197,801358,28967185,0.5158646703886182,0.701946265690112,0.5946888277202022,0.42317234748476007
r19,1111006,01,Madagascar,Ambato Boeny,0.4,1812202,1659985,876434,29078397,0.5219194703511072,0.6740228130546493,0.5882986737323893,0.41673026920488127
r19,1111006,01,Madagascar,Ambato Boeny,0.45,1742895,1579598,945741,29158784,0.5245744686294298,0.6482450580889343,0.5798894018078801,0.40834101410559964
r19,1111006,01,Madagascar,Ambato Boeny,0.5,1676753,1512487,1011883,29225895,0.5257531574920671,0.6236444799519162,0.5705302391544156,0.39912018762602286
r19,1111006,01,Madagascar,Ambato Boeny,0.55,1615022,1473723,1073614,29264659,0.5228732057842262,0.6006845106589364,0.5590844709739586,0.3880064165536899
r19,1111006,01,Madagascar,Ambato Boeny,0.6,1555205,1440768,1133431,29297614,0.5190984698460233,0.5784364265002775,0.5471634020915072,0.3766173036108843
r19,1111006,01,Madagascar,Ambato Boeny,0.65,1495331,1409878,1193305,29328504,0.5147068592999677,0.5561671420006278,0.5346344062089671,0.3648471128804245
r19,1111006,01,Madagascar,Ambato Boeny,0.7,1434322,1379780,1254314,29358602,0.5096908356555662,0.5334757103601975,0.5213121177130368,0.3525504766474225
r19,1111006,01,Madagascar,Ambato Boeny,0.75,1369143,1348702,1319493,29389680,0.5037605161442246,0.5092333064051809,0.5064821276538288,0.3391202321925982
r19,1111006,01,Madagascar,Ambato Boeny,0.8,1296726,1315392,1391910,29422990,0.49642703736967475,0.4822988310801462,0.4892609617424238,0.32385537763472183
r19,1111006,01,Madagascar,Ambato Boeny,0.85,1211640,1276794,1476996,29461588,0.48690863410482255,0.4506523010180627,0.4680794348927096,0.3055507221158866
r19,1111006,01,Madagascar,Ambato Boeny,0.9,1097138,1224271,1591498,29514111,0.4726172768348878,0.40806490726152594,0.4379753076070175,0.2803894904734511
r19,1111006,01,Madagascar,Ambato Boeny,0.95,897231,1121497,1791405,29616885,0.4444536361510813,0.3337123359205188,0.38120315318721903,0.23548548042811104
r19,1111007,01,Nepal,Patna,0.05,12817271,56666165,932078,134833370,0.1844651292143929,0.9322092995093804,0.3079861138852917,0.18202339615102434
r19,1111007,01,Nepal,Patna,0.1,11966031,41320745,1783318,150178790,0.2245591101251838,0.8702980046546204,0.35700246695345234,0.21728728118749896
r19,1111007,01,Nepal,Patna,0.15,10972586,30366315,2776763,161133220,0.26543003646855534,0.7980440383031953,0.39836393423279914,0.2487231292721787
r19,1111007,01,Nepal,Patna,0.2,10249133,22748326,3500216,168751209,0.3106037043640239,0.7454267834789851,0.43849552251781554,0.2808160519813933
r19,1111007,01,Nepal,Patna,0.25,9691242,17840498,4058107,173659037,0.3520025250855921,0.7048509714896319,0.4695245321653215,0.30678344216102094
r19,1111007,01,Nepal,Patna,0.3,9231112,14860486,4518237,176639049,0.3831672768240612,0.6713853870463249,0.4878901154350075,0.3226551988153724
r19,1111007,01,Nepal,Patna,0.35,8838815,12803278,4910534,178696257,0.4084085120602707,0.6428533452747471,0.49948883122648685,0.33287911587806357
r19,1111007,01,Nepal,Patna,0.4,8496182,11190991,5253167,180308544,0.4315592695812649,0.6179334017923321,0.5081977126687997,0.3406602315766345
r19,1111007,01,Nepal,Patna,0.45,8183218,9898920,5566131,181600615,0.45255809904780064,0.5951713059287389,0.5141587007857974,0.34603877349331574
r19,1111007,01,Nepal,Patna,0.5,7877956,8694726,5871393,182804809,0.47535794146053123,0.5729693820412879,0.5196192827584669,0.351003817265804
r19,1111007,01,Nepal,Patna,0.55,7612618,8221246,6136731,183278289,0.4807808125672925,0.5536711592672496,0.5146579582143427,0.3464912079076602
r19,1111007,01,Nepal,Patna,0.6,7355739,7849393,6393610,183650142,0.48376686239882694,0.5349881656215142,0.5080898531733309,0.3405633068814841
r19,1111007,01,Nepal,Patna,0.65,7099146,7530796,6650203,183968739,0.4852477200524787,0.5163259729606107,0.5003046763923735,0.3336042118134063
r19,1111007,01,Nepal,Patna,0.7,6837774,7250222,6911575,184249313,0.48536172213563944,0.4973162002070062,0.4912662468349622,0.3256149375622959
r19,1111007,01,Nepal,Patna,0.75,6564512,6993184,7184837,184506351,0.4841908241636337,0.4774416592378301,0.480792557378508,0.3164759096683129
r19,1111007,01,Nepal,Patna,0.8,6263515,6748383,7485834,184751152,0.48136828308983054,0.45554993185495546,0.4681033735087158,0.30557112367358497
r19,1111007,01,Nepal,Patna,0.85,5906129,6496979,7843220,185002556,0.47618137324935006,0.4295569921164995,0.45166914909753986,0.29171358875545234
r19,1111007,01,Nepal,Patna,0.9,5421519,6194129,8327830,185305406,0.466742707768004,0.39431095974071206,0.42748035806982354,0.2718442089188255
r19,1111007,01,Nepal,Patna,0.95,4591855,5681562,9157494,185817973,0.44696472458968617,0.3339689028185989,0.3822919475634072,0.23631702085404024
r19,1111008,01,Nicaragua,Dakban,0.05,462436,1686982,17865,3518862,0.21514475081161505,0.962804574631325,0.35169993447969156,0.21337130407058053
r19,1111008,01,Nicaragua,Dakban,0.1,432104,927911,48197,4277933,0.3177200251467815,0.8996525095721225,0.4695976125839258,0.3068458442336807
r19,1111008,01,Nicaragua,Dakban,0.15,404179,571050,76122,4634794,0.4144452226092538,0.8415118852552879,0.5553702087899253,0.38443773772983525
r19,1111008,01,Nicaragua,Dakban,0.2,385998,426978,94303,4778866,0.4747963039499321,0.8036585391244241,0.5969301240182885,0.42544575593615636
r19,1111008,01,Nicaragua,Dakban,0.25,371625,367362,108676,4838482,0.5028843538519622,0.7737335545834799,0.6095770646475648,0.4384112554163624
r19,1111008,01,Nicaragua,Dakban,0.3,359319,336930,120982,4868914,0.5160782995738593,0.7481121213572323,0.6108010709277124,0.43967862207870234
r19,1111008,01,Nicaragua,Dakban,0.35,348047,315606,132254,4890238,0.5244412366100959,0.724643504802197,0.6084982438105029,0.4372960659976605
r19,1111008,01,Nicaragua,Dakban,0.4,337681,297155,142620,4908689,0.5319184797333485,0.7030612053691331,0.605631415691525,0.434340978782079
r19,1111008,01,Nicaragua,Dakban,0.45,327490,279830,152811,4926014,0.5392379635118224,0.6818432607885472,0.6022134548707684,0.4308336326238504
r19,1111008,01,Nicaragua,Dakban,0.5,316806,262125,163495,4943719,0.5472258352031589,0.6595988765378378,0.5981805685628834,0.4267172755264498
r19,1111008,01,Nicaragua,Dakban,0.55,306549,249214,173752,4956630,0.5515822391918858,0.6382435181271744,0.5917568798838682,0.4202093171490648
r19,1111008,01,Nicaragua,Dakban,0.6,295753,237013,184548,4968831,0.5551273917629879,0.6157659467708791,0.5838764859579869,0.41230618669090524
r19,1111008,01,Nicaragua,Dakban,0.65,284427,224733,195874,4981111,0.558620080131982,0.5921849007185078,0.5749130081933497,0.4034230973258027
r19,1111008,01,Nicaragua,Dakban,0.7,272188,212233,208113,4993611,0.5618831553545367,0.5667029633500659,0.5642827674708362,0.39303196666156465
r19,1111008,01,Nicaragua,Dakban,0.75,258971,200035,221330,5005809,0.5641995965194355,0.5391848028632046,0.5514086448839411,0.38065161919992474
r19,1111008,01,Nicaragua,Dakban,0.8,244745,187710,235556,5018134,0.5659432773352141,0.5095658763983418,0.5362769458650505,0.36637869735678
r19,1111008,01,Nicaragua,Dakban,0.85,228751,173970,251550,5031874,0.5680135875705513,0.47626592490958797,0.5181094015777636,0.34962729511165863
r19,1111008,01,Nicaragua,Dakban,0.9,206976,157025,273325,5048819,0.5686138224894987,0.4309297711226918,0.4902890198057093,0.3247568748175973
r19,1111008,01,Nicaragua,Dakban,0.95,153606,128444,326695,5077400,0.5446055663889381,0.31981195125556683,0.4029797298094972,0.25233225734913634
r19,1111009,01,Pakistan,Larkana,0.05,118477527,539285464,103437,273198669,0.1801219111155495,0.9991277099079747,0.30521916538913474,0.18009359036634107
r19,1111009,01,Pakistan,Larkana,0.1,116797558,433519062,1783406,378965071,0.21223701730105843,0.9849604359768909,0.3492240390570764,0.2115514444840834
r19,1111009,01,Pakistan,Larkana,0.15,114457805,335319176,4123159,477164957,0.2544767959123279,0.9652291661248428,0.4027666227134381,0.25216516787150584
r19,1111009,01,Pakistan,Larkana,0.2,112170664,270028699,6410300,542455434,0.2934873127980593,0.9459415762550218,0.4479835087451429,0.2886461009076864
